7,1,Pediatric Cardiology,CD67892,"MD, FACC",8,Dr. Patel focuses on congenital heart diseases in children and adolescents.,230.00,4.60,95,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
8,2,Pediatric Neurology,PD67893,"MD, FAAP",9,"Dr. Wilson specializes in neurological disorders in children, including epilepsy and developmental delays.",190.00,4.80,110,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
9,2,Pediatric Pulmonology,PD67894,"MD, FAAP",7,"Dr. Rodriguez is an expert in childhood respiratory conditions, including asthma and cystic fibrosis.",185.00,4.50,85,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
10,3,Clinical Dermatology,DM12345,MD,12,Dr. Kim provides comprehensive care for various skin conditions and dermatological diseases.,200.00,4.50,130,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
11,3,Cosmetic Dermatology,DM12346,MD,8,Dr. Smith specializes in aesthetic procedures and cosmetic dermatology treatments.,210.00,4.70,150,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
12,3,Pediatric Dermatology,DM12347,MD,9,"Dr. Johnson focuses on skin conditions affecting infants, children, and adolescents.",195.00,4.60,110,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.553784+08
6,1,Non-invasive Cardiology,CD67891,"MD, PhD",10,Dr. Chen specializes in non-invasive diagnostic techniques with expertise in echocardiography.,220.00,4.00,1,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.744586+08
4,2,General Pediatrics,PD67890,"MD, FAAP",12,Dr. Johnson is a compassionate pediatrician with special interest in child development and preventive care.,180.00,5.00,1,2025-05-08 12:40:06.553784+08,2025-05-08 12:40:06.744586+08
35,1,General Medicine,GEN-2023-001,"MD, Internal Medicine",3,Dr. Harrison is a general practitioner with experience in primary care and preventive medicine.,180.00,0.00,0,2025-05-30 15:57:20.318571+08,2025-05-30 22:45:18.485786+08
3,1,Interventional Cardiology,CD12345,"MD, FACC",15,Dr. Smith specializes in cardiac interventions with 15 years of experience in complex cardiac procedures.,250.00,4.80,5,2025-05-08 12:40:06.553784+08,2025-05-28 21:19:00.884056+08
26,4,Sports Medicine,ORTH-2018-001,"MD, Orthopedic Surgery",12,Dr. Johnson specializes in sports injuries and joint reconstruction. He has extensive experience in arthroscopic surgery and has treated professional athletes.,250.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
27,4,Spine Surgery,ORTH-2020-002,"MD, Spine Surgery Fellowship",8,Dr. Garcia is an expert in spinal disorders and minimally invasive spine surgery. She focuses on treating back pain and spinal deformities.,275.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
28,4,Pediatric Orthopedics,ORTH-2019-003,"MD, Pediatric Orthopedic Surgery",10,"Dr. Thompson specializes in pediatric orthopedic conditions including congenital disorders, fractures, and growth-related issues in children.",225.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
29,5,Stroke and Cerebrovascular Disease,NEUR-2017-001,"MD, Neurology, Stroke Fellowship",15,Dr. Chen is a leading expert in stroke treatment and prevention. He has published extensively on cerebrovascular disorders and acute stroke care.,300.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
30,5,Epilepsy and Sleep Disorders,NEUR-2021-002,"MD, Neurology, Epilepsy Fellowship",6,Dr. Williams specializes in epilepsy management and sleep medicine. She uses advanced EEG monitoring and focuses on comprehensive epilepsy care.,280.00,0.00,0,2025-05-30 15:40:00.345058+08,2025-05-30 15:40:00.345058+08
